epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,217.521,1.08033,0.92815,0.82683,1.50465,0.72577,1,0.995,0.68792,0.72577,1,0.995,0.69275,0.74259,0.67407,0.57806,1.33657,0.00026,0.00026,0.00026
66,220.976,1.0421,0.94622,0.77361,1.43445,0.73582,1,0.995,0.6857,0.73582,1,0.995,0.70213,0.75991,0.66572,0.57766,1.33519,0.000244531,0.000244531,0.000244531
67,224.498,1.12085,0.99172,0.83474,1.53769,0.74346,1,0.995,0.69895,0.74346,1,0.995,0.69215,0.78113,0.6666,0.5853,1.33187,0.000229063,0.000229063,0.000229063
68,227.901,1.05952,0.98656,0.77675,1.45717,0.71835,1,0.995,0.70726,0.71835,1,0.995,0.7056,0.77145,0.66019,0.58271,1.32541,0.000213594,0.000213594,0.000213594
69,231.475,1.05373,0.95303,0.79474,1.46788,0.72817,1,0.97833,0.69113,0.72817,1,0.97833,0.6942,0.74276,0.64249,0.58456,1.3174,0.000198125,0.000198125,0.000198125
70,235.005,1.0779,0.97294,0.8046,1.44702,0.74455,1,0.97833,0.68201,0.74455,1,0.97833,0.68886,0.75538,0.63405,0.57727,1.32072,0.000182656,0.000182656,0.000182656
71,260.402,1.12455,0.88028,1.10865,1.52072,0.74124,1,0.97833,0.67715,0.74124,1,0.97833,0.6662,0.76664,0.63384,0.5741,1.31666,0.000167188,0.000167188,0.000167188
72,263.606,1.17688,0.85907,1.09883,1.56159,0.74865,1,0.97833,0.6753,0.74865,1,0.97833,0.656,0.79509,0.63599,0.58245,1.31695,0.000151719,0.000151719,0.000151719
73,266.781,1.10174,0.86797,1.00802,1.44135,0.76306,1,0.97833,0.65098,0.76306,1,0.97833,0.65173,0.79034,0.64035,0.58918,1.31063,0.00013625,0.00013625,0.00013625
74,269.88,1.09848,0.94974,1.02479,1.46772,0.75952,1,0.97833,0.6532,0.75952,1,0.97833,0.63191,0.78013,0.6477,0.60159,1.30019,0.000120781,0.000120781,0.000120781
75,273.045,1.00076,0.83313,0.89049,1.42266,0.75301,1,0.97833,0.64337,0.75301,1,0.97833,0.62378,0.78677,0.66241,0.62306,1.30095,0.000105312,0.000105312,0.000105312
76,276.207,1.02656,0.83204,0.8846,1.50048,0.77838,1,0.995,0.68474,0.77838,1,0.995,0.66477,0.81911,0.68026,0.64254,1.30383,8.98437e-05,8.98437e-05,8.98437e-05
77,279.351,0.98132,0.91846,0.83416,1.41728,0.77092,1,0.995,0.66498,0.77092,1,0.995,0.67149,0.83871,0.6854,0.65659,1.30787,7.4375e-05,7.4375e-05,7.4375e-05
78,282.563,0.99921,0.78959,0.82392,1.43971,0.76306,1,0.995,0.69244,0.76306,1,0.995,0.68911,0.83647,0.67744,0.66075,1.3036,5.89062e-05,5.89062e-05,5.89062e-05
79,285.77,0.95834,0.80351,0.82891,1.44095,0.74751,1,0.995,0.69426,0.74751,1,0.995,0.68849,0.82066,0.66862,0.65694,1.29588,4.34375e-05,4.34375e-05,4.34375e-05
80,288.947,0.96192,0.78059,0.81862,1.35441,0.73848,1,0.995,0.69624,0.73848,1,0.995,0.7086,0.8096,0.66368,0.64466,1.29053,2.79687e-05,2.79687e-05,2.79687e-05
